model,task,n,n_errors,accuracy,precision,recall,f1
claude-sonnet-4-6,key_signature,63,0,0.8095,0.7074,0.6486,0.6401
claude-sonnet-4-6,time_signature,90,0,0.9333,0.796,0.7824,0.7887
gemini-2.5-flash,key_signature,63,0,0.3333,0.2283,0.2765,0.2228
gemini-2.5-flash,time_signature,90,0,0.4667,0.4003,0.3877,0.3582
gpt-5.4,key_signature,63,0,0.8254,0.7467,0.6654,0.6852
gpt-5.4,time_signature,90,0,0.8778,0.8217,0.7677,0.7786
