model,task,n,n_errors,accuracy,precision,recall,f1
claude-sonnet-4-6,key_signature,63,0,0.8095,0.7546,0.7372,0.7109
claude-sonnet-4-6,time_signature,90,0,0.9444,0.9722,0.9543,0.96
gemini-2.5-flash,key_signature,63,0,0.4603,0.4231,0.4105,0.3849
gemini-2.5-flash,time_signature,90,0,0.2222,0.1969,0.1315,0.1177
gpt-5.4,key_signature,63,0,0.8571,0.7822,0.7582,0.7552
gpt-5.4,time_signature,90,0,0.8778,0.908,0.8526,0.8662
