model,task,n_disagreements,pdf_better,png_better,both_wrong
claude-sonnet-4-6,key_signature,8,1,7,0
claude-sonnet-4-6,time_signature,11,8,2,1
gemini-2.5-flash,key_signature,44,14,9,21
gemini-2.5-flash,time_signature,62,10,10,42
gpt-5.4,key_signature,17,13,1,3
gpt-5.4,time_signature,7,0,6,1
